occ_code, occupation_title,median_wage,total_employment,mean_wage
15-1252, Software Developers,132270, 1656880,138110
29-1141,Registered Nurses ,86070,3175390,94480
41-2011,Cashiers,29720,3298660,31610
15-2051,Data Scientists,108020,**,119840
19-3011, Economists,115730,16680,131370
53-3032,Truck Drivers,54320,2044400,56020
25-2021,Elementary Teachers,**,2291249,66470
15-1252, Software Developers,132270, 1656880,138110
